54 76
1 0
4 7 0.0948347 -1.63604 1.27378 -0.233494 -0.539372 0.0872344 0.10068 7 0.998827 -0.010492 -0.0166099 0.00321612 0.00979611 -0.000906539 -0.00169106 7 3.13765e-06 8.59671e-06 5.67353e-05 -5.56598e-06 -3.47059e-05 2.42406e-06 6.0361e-06 7 -2.11607e-09 2.0985e-09 -5.57744e-08 4.04936e-09 3.31121e-08 -2.11908e-09 -5.71256e-09
83 92
1 0
4 5 -0.246833 -2.41116 1.03534 0.324699 -0.154277 5 1.00272 -0.00340019 -0.00948729 -0.00240037 0.00208087 5 -7.7764e-06 -1.1536e-05 3.04662e-05 1.03014e-05 -6.65425e-06 5 5.74866e-09 2.02715e-08 -2.93125e-08 -9.97946e-09 6.09526e-09
116 150
1 0
4 7 -0.0808072 -1.46819 0.193399 -0.120304 0.387612 -0.00959589 -0.0825107 7 1.00125 -0.015594 -0.00159121 0.00411968 -0.00255982 -0.0003117 0.000602448 5 -8.06482e-06 2.43061e-05 2.23035e-05 -6.39922e-06 -3.33412e-06 5 7.51336e-09 -1.26334e-08 -2.40636e-08 5.03912e-09 3.47915e-09
158 178
1 0
4 6 0.0656406 -2.09524 1.12393 -0.0935244 -0.166213 0.0661282 5 0.998793 -0.00459336 -0.0112827 -0.00105599 0.00241563 5 4.6493e-06 -1.07164e-05 3.69509e-05 6.86924e-06 -7.91438e-06 5 -4.41946e-09 2.19649e-08 -3.50456e-08 -7.79474e-09 7.0515e-09
179 190
1 0
4 7 -0.128535 -1.58456 1.50227 -0.11234 -0.633505 0.0216592 0.086076 7 1.00184 -0.0128662 -0.0194565 0.00311608 0.0109325 -0.000504715 -0.00156853 7 -6.60085e-06 1.65112e-05 6.71362e-05 -5.94157e-06 -3.65181e-05 1.1783e-06 5.19393e-06 7 6.91043e-09 -2.99774e-09 -6.62688e-08 4.18103e-09 3.35393e-08 -9.62954e-10 -4.69438e-09
230 308
1 0
4 8 0.107076 -2.50734 0.790784 3.78286 0.330687 -2.92976 -0.165934 0.575089 8 1.00083 -0.00321002 -0.0169225 -0.0355754 0.00687695 0.0263631 -0.000498584 -0.00496507 8 -7.70295e-06 -1.31319e-05 7.39782e-05 0.000109713 -4.3682e-05 -7.57335e-05 6.53799e-06 1.3886e-05 8 9.69897e-09 2.48838e-08 -8.06959e-08 -9.98733e-08 5.19904e-08 6.55764e-08 -8.70601e-09 -1.17596e-08
456 520
1 0
3 6 0.169926 -0.820715 -1.49283 -1.58295 0.494728 0.402101 6 0.998761 -0.0144928 0.00970037 0.00863169 -0.00279076 -0.00186841 6 1.52405e-06 1.70145e-05 -1.28073e-05 -1.06391e-05 3.45856e-06 2.31526e-06
eof
