0	 3 	-333.306	3.16962	0
1	 3 	-396.509	3.19139	0
2	 3 	-354.784	3.32161	0
3	 3 	-345.315	3.13448	0
4	 3 	-317.430	3.23548	0
5	 3 	-345.456	3.17321	0
6	 3 	-388.824	3.20013	0
7	 3 	-310.791	3.16169	0
8	 3 	-412.568	3.26188	0
9	 3 	-372.109	3.19126	0
10	 3 	-421.111	3.2704	0
11	 3 	-406.979	3.26396	0
12	 3 	-393.637	3.19401	0
13	 3 	-257.830	3.17138	0
14	 3 	-460.489	3.34661	0
15	 3 	-347.620	3.1549	0
16	 3 	-385.548	3.17735	0
17	 3 	-331.050	3.1881	0
18	 3 	-459.585	3.28899	0
19	 3 	-353.005	3.31736	0
20	 3 	-381.649	3.18075	0
21	 3 	-301.283	3.3058	0
22	 3 	-403.964	3.24189	0
23	 3 	-338.593	3.14494	0
24	 3 	-467.113	3.20089	0
25	 3 	-419.515	3.28292	0
26	 3 	-466.165	3.2896	0
27	 3 	-463.281	3.27789	0
28	 3 	-426.709	3.31368	0
29	 3 	-400.537	3.21851	0
30	 3 	-412.208	3.26215	0
31	 3 	-371.180	3.22951	0
32	 3 	-208.982	2.39959	4.01122e-05
33	 3 	-203.039	2.37909	4.95482e-05
48	 3 	-380.657	3.26399	6.72819e-05
49	 3 	-391.767	3.236	0.000111114
eof
