1  0
2  34
3  243
4  38
5  165
6  136
7  51
8  177
9  122
10  253
11  119
12  208
13  51
14  106
15  11
16  -4
17  -36
18  -68
19  -79
20  -131
21  4
22  -20
23  78
24  299
25  206
26  -54
27  -46
28  -134
29  88
30  109
31  142
32  -186
101  0
102  26
103  0
104  26
eof
