146	0		
110	-0.471214	
120	0.0701726
124	-0.189865	
127	-0.323577	
132	-0.0252217	
136	-0.432496	
152	0.39964		
160	-0.572261	
161	-0.74678	
165	-0.881155	
171	-1.08155	
174	-0.855124	
177	-0.980375	
182	-0.696093	
184	-0.471223	
187	0.156994	
194	0.121294	
202	-0.219401	
208	-0.251394	
210	-0.404753	
213	-0.463238	
217	-0.531256	
220	-0.558001	
121 	0.0178274
122 	-0.0193208
126 	-0.289782
128 	-0.286283
129 	-0.262308
137 	-0.386006
147 	0.0669252
148 	0.172094
153 	0.307078
155 	0.105425
162 	-0.775447
164 	-0.844724
167 	-0.939486
170 	-1.02134
172 	-1.00673
173 	-0.979166
176 	-0.909779
178 	-0.930208
180 	-0.867498
186 	-0.273582
188 	0.149722
196 	0.0268846
198 	-0.0305817
200 	-0.0675249
201 	-0.133201
205 	-0.233547
209 	-0.308528
212 	-0.428803
216 	-0.499064
218 	-0.536571
222 	-0.564687
eof
