8  3 -194.665  2.30278  3.23657e-05
9  3 -207.973  2.28882  1.41731e-05
10 3 -142.912  2.16302  3.44789e-05
11 3 -96.3477  1.91318  3.04155e-05
12 3 -224.29   2.53943  3.52981e-06
24 3 -628.679  6.4674  0.000318998
25 3 -691.579  6.1598   0.000109978
26 3 -568.459  5.03693  0.00018568
27 3 -369.679  5.00192  0.000154662
28 3 -565.887  6.21936  8.44705e-05
32 3 -294.913  3.6399   1.17499e-05
33 3 -356.923  3.59356  1.46939e-05
34 3 -282.734  3.48548  1.84486e-05  
35 3 -292.148  4.02317  0.000165464
36 3 -275.249  3.82837  2.17845e-05
37 3 -323.969  4.29247  3.44974e-05 
38 3 -375.442  4.20121  2.93023e-05  
39 3 -295.844  3.95370  1.41059e-05 
40 3 -423.372  4.62013  4.47537e-05  
41 3 -410.547  4.91052  5.28985e-05
42 3 -350.043  3.42804  9.64489e-07
43 3 -352.043  3.37145  3.10762e-06 
44 3 -355.924  3.94852  3.17776e-05  
45 3 -207.773  4.16423  3.88946e-05
46 3 -435.804  4.20754  5.32371e-05
47 3 -325.062  4.17627  3.53661e-05 
48 3 -331.438  3.73176  3.94052e-05 
49 3 -280.342  3.67651  4.11617e-05 
50 3 -394.055  3.75004  1.89297e-05 
51 3 -286.702  3.83541  3.36139e-05
52 3 -368.693  4.19188  3.59729e-05
53 3 -226.695  3.65366  5.52215e-05
54 3 -395.013  4.13667  3.36483e-05
55 3 -300.777  3.75694  3.38509e-05
56 3 -542.19  5.32687  7.95542e-05
57 3 -324.995  3.21796  2.55111e-05
58 3 -528.992  5.08833  7.10111e-05
59 3 -487.546  4.65361  9.20443e-05
60 3 -395.619  3.75207  2.49614e-05
61 3 -340.61  3.55031  3.38785e-05
62 3 -364.593  3.59718  1.17978e-05
63 3 -294.537  3.48228  3.95662e-05
64 3 -106.296  2.46302  1.31811e-05
65 3 -106.095  2.18648  1.08572e-05
66 3 -129.072  3.17645  4.41132e-05
67 3 -105.877  3.05998  2.36565e-05
68 3 -68.3125  4.29299  0.000174158 
69 3 104.404  4.49093  0.000276487
70 3 -275.306  3.29444  2.18758e-05
71 3 -105.281  3.31314  2.02233e-05 
72 3 -92.8543  3.5921  5.32165e-05
73 3 -194.053  3.60714  4.65453e-05 
74 3 -221.85  3.63478  4.77605e-05
75 3 -183.191  3.72684  5.90724e-05
76 3 -294.896  3.36347  3.44472e-05
77 3 -183.138  3.3969  3.60341e-05  
78 3 -299.493  3.57624  3.94448e-05
79 3 -231.836  3.59965  4.58309e-05 
eof
