32 3 -303.045  3.64486  1.10337e-05 
33 3 -357.21  3.5954  1.29581e-05
34 2 -296.397  3.52337
35 2 -372.842  4.29107
36 2 -288.289  3.86907
37 2 -341.211  4.35145
38 2 -391.094  4.25189
39 2 -304.167  3.97973
40 2 -443.964  4.69069
41 2 -431.571  4.99273
42 2 -351.534  3.43065
43 2 -355.261  3.37903
44 2 -376.354  4.01003
45 2 -226.680  4.22949
46 2 -464.248  4.29722
47 2 -343.918  4.23714
48 2 -357.86  3.80802
49 2 -306.086  3.75307
50 2 -407.141  3.78656
51 2 -306.971  3.89698
52 2 -388.058  4.25458
53 2 -258.875  3.75165
54 2 -413.547  4.19551
55 2 -321.777  3.81911
56 2 -573.278  5.44699
57 2 -346.886  3.27338
58 2 -559.531  5.19874
59 2 -529.719  4.79604
60 2 -411.951  3.79914
61 2 -364.881  3.61706
62 2 -373.062  3.62164
63 2 -319.818  3.56057
64 2 -127.151  2.504
65 2 -124.513  2.219
66 2 -161.701  3.26716
67 2 -123.894  3.10962
68 2 -135.443  4.5586
69 3 101.212  4.50298  0.000261006
70 2 -293.029  3.34049 
71 2 -119.408  3.35465
72 2 -123.014  3.68831
73 2 -223.022  3.69475
74 2 -252.091  3.72549
75 2 -217.175  3.8336
76 2 -321.863  3.43541
77 2 -207.966  3.46782
78 2 -327.261  3.65399
79 2 -261.657  3.68838
eof
