10015	0
10016	0
10017	1
10018	1
10019	1
10020	1
10021	7
10022	7
10023	7
10024	7
10025	8
10026	8
10027	8
10028	8
10029	10
10030	10
10031	10
10032	10
10033	10
10034	10
10035	10
10036	10
10037	8
10038	8
10039	8
10040	8
10048	-12
10054	-13
10055	-13
10056	-12
10057	-12
10058	-12
10059	-12
10060	-12
10061	-11
10062	-11
10063	-11
10064	-11
10065	-11
10066	-11
10096	-55
10097	-55
10098	-55
10100	-63
10101	-63
10103	-63
10104	-63
10105	-61
10106	-61
10107	-61
10108	-61
10109	-61
10110	-56
10114	-56
10115	-56
10116	-56
10118	-53
10119	-53
10120	-53
10121	-51
10123	-51
10124	-51
10125	-54
10127	-54
10128	-54
10129	-56
10130	-56
10131	-56
10132	-56
10133	-54
10134	-54
10135	-54
10136	-54
10137	-53
10138	-53
10139	-53
10140	-53
10141	-52
10142	-52
10143	-52
10144	-52
10146	-52
10147	-52
10148	-52
10149	-53
10150	-53
10151	-53
10152	-53
10155	-53
10158	-53
10160	-53
10161	-54
10162	-54
10163	-54
10164	-54
10165	-54
10166	-54
10167	-54
10168	-52
10169	-52
10170	-52
10171	-52
10172	-50
10173	-50
10174	-50
10176	-50
10177	-50
10178	-52
10179	-52
10180	-52
10181	-52
10182	-50
10183	-50
10184	-50
10188	-49
10189	-49
10190	-48
10191	-48
10192	-48
10193	-48
10194	-48
10195	-48
10196	-49
10197	-49
10198	-49
10199	-48
10200	-48
10202	-48
10204	-48
10205	-51
10206	-51
10215	-151
10216	-151
10217	-151
10225	256
10226	256
10228	269
10230	269
10231	275
10232	275
10233	275
10234	275
10235	278
10236	278
10237	278
10238	278
10239	278
10241	297
10242	297
10243	297
10244	297
10245	290
10246	290
10247	290
10248	290
10250	270
10251	270
10253	278
10254	278
10255	277
10256	277
10257	277
10258	277
10259	279
10261	279
10262	279
10263	278
10264	278
10265	278
10266	278
10267	279
10268	279
10269	279
10270	279
10271	280
10272	280
10273	280
10274	288
10275	288
10276	288
10280	293
10281	293
10282	293
10283	286
10284	286
10285	286
10286	282
10287	282
10288	282
10293	274
10294	274
10295	268
10296	268
10297	268
10298	276
10299	276
10300	276
10301	275
10302	275
10303	275
20007  77
20008  77
20009  77
20011  77
20012  77
20013  77
20016  77
20017  77
20015  77
20019  75
20020  75
20023  75
20024  75
20025  75
20027  72
20028  72
20030  73
20031  73
20032  73
20033  74
20035  74
20036  74
20038  73
20039  73
20040  73
20042  73
20043  73
20044  73
20045  73
20046  73
20047  73
20048  73
20050  74
20051  74
20052  74
20053  74
20058  75
20060  75
20062  75
20065  77
20068  77
20071  77
20074  75
20078  77
20081  77
20084  77
20088  77
20091  76
20093  76
20097  75
20101  74
20104  74
20107  75
20110  75
20114  77
20014  77
20021  75
20022  75
20029  73
20037  73
20049  74
20055  74
20077  77
20112  75
267  407
268  407
269  407
270  407
271  407
272  407
273  407
274  407
275  409
277  409
280  409
281  408
282  408
283  408
284  408
285  408
286  408
287  408
288  408
289  408
290  407
291  407
292  410
293  410
294  410
295  410
297  409
298  409
305  409
306  409
307  409
308  409
310  412
311  412
312  412
313  412
314  412
315  412
316  412
317  412
318  412
319  412
320  414
321  414
323  414
324  414
325  414
326  414
328  414
329  416
330  416
331  416
336  19
337  19
338  19
339  19
340  21
342  21
343  21
344  21
345  21
346  21
347  21
348  21
349  21
350  21
351  21
352  21
362  14
364  14
365  14
368  14
369  8
370  8
371  8
374  8
375  8
376  8
377  8
378  14
379  14
380  14
382  14
383  14
384  14
385  14
386  17
387  17
388  17
389  18
390  18
391  18
392  18
393  19
394  19
395  19
396  19
397  19
398  19
400  19
403  19
410  1
411  6
412  6
413  6
414  6
415  6
416  -9
417  -9
418  -9
419  -5
420  -5
421  -5
422  -5
423  -5
424  0
425  0
426  0
428  0
429  0
430  2
431  2
432  2
433  2
434  8
435  8
436  8
437  8
438  8
439  8
440  8
441  8
442  8
443  8
444  8
445  5
446  5
447  5
449  7
450  7
451  7
454  7
455  7
456  7
458  7
459  7
460  7
462  8
463  8
465  8
467  8
469  8
470  8
471  8
472  8
474  8
476  5
477  5
478  5
479  5
480  3
481  3
482  3
483  3
484  2
485  2
486  2
487  2
488  3
489  3
490  3
491  5
492  5
493  5
494  7
495  7
496  7
497  3
498  3
499  3
500  4
501  4
502  4
503  6
eof
