0	 3 	-336.67	3.18136	-1.76352e-05
1	 3 	-399.44	3.20669	-2.01644e-05
2	 3 	-349.628	3.30436	-1.79767e-05
3	 3 	-350.626	3.14788	-1.7136e-05
4	 3 	-321.054	3.24396	-1.5477e-05
5	 3 	-349.442	3.18569	-1.96451e-05
6	 3 	-393.446	3.20682	-8.66985e-06
7	 3 	-318.597	3.1848	-3.01083e-05
8	 3 	-418.303	3.26583	-5.22036e-06
9	 3 	-379.632	3.21348	-2.57592e-05
10	 3 	-422.838	3.27232	-2.36943e-06
11	 3 	-417.069	3.27102	-1.54899e-05
12	 3 	-395.893	3.20264	-1.30829e-05
13	 3 	-261.651	3.18933	-2.47231e-05
14	 3 	-460.5	3.32838	2.31299e-05
15	 3 	-350.601	3.16715	-1.67021e-05
16	 3 	-386.282	3.17949	-5.89481e-06
17	 3 	-336.4	3.20745	-1.24687e-05
18	 3 	-457.704	3.26426	2.71567e-05
19	 3 	0	0	0
20	 3 	-383.4	3.17937	-6.61592e-07
21	 3 	-300.618	3.30014	9.4459e-07
22	 3 	-401.286	3.21815	2.56889e-05
23	 3 	-341.138	3.15324	-1.27899e-05
24	 3 	-464.605	3.1899	5.88029e-06
25	 3 	-420.6	3.28929	-1.37639e-05
26	 3 	-466.598	3.28314	1.50419e-06
27	 3 	-461.246	3.27482	-5.88916e-06
28	 3 	-426.759	3.29477	2.37302e-05
29	 3 	-400.056	3.2118	4.54221e-06
30	 3 	-409.437	3.24891	1.29844e-05
31	 3 	-369.443	3.22139	1.21137e-05
eof
