1  -1536
2  -1591
3  -1558
4  -1563
5  -2092
6  -1950
7  -2027
8  -2052
9  -1674
10  -1483
11  -1579
12  -1729
13  -1642
14  -1654
15  -1665
16  -1776
17  -1744
18  -1780
19  -1762
20  -1678
21  -1778
22  -1844
23  -1864
24  -1823
25  -1904
26  -1602
27  -1704
28  -1781
29  -2073
30  -2040
31  -2023
32  -2053
33  -1614
34  -1640
35  -1561
36  -1624
37  -1663
38  -1599
39  -1542
40  -1665
41  -1847
42  -1842
43  -1875
44  -1807
45  -1762
46  -1716
47  -1749
48  -1707
101  0
102  -44
103  -32
104  -20
105  -14
eof
