10015  0
10019  1
10023  7
10027  8
10031  10
10035  10
10039  8
10048  -13
10054  -14
10059  -12
10062  -12
10075  -5
10086  -53
10090  -56
10097  -55
10103  -63
10107  -61
10114  -55
10118  -53
10119  -53
10123  -51
10127  -54
10131  -56
10135  -54
10139  -53
10143  -52
10147  -52
10150  -53
10158  -53
10162  -54
10166  -54
10170  -52
10174  -49
10176  -50
10180  -51
10184  -48
10188  -48
10191  -46
10194  -48
10197  -48
10202  -48
10204  -49
10205  -51
10215  -151
10225  256
10228  268
10233  274
10237  276
10243  296
10246  290
10249  265
10250  270
10253  277
10257  276
10261  277
10265  277
10269  278
10272  280
10275  293
10281  293
10284  285
10287  282
10293  273
10296  273
10299  275
10302  274
20007  77
20012  77
20015  77
20019  75
20023  75
20027  72
20030  73
20035  74
20038  73
20042  73
20047  73
20050  74
20053  74
20058  75
20060  75
20062  75
20065  77
20068  77
20071  77
20074  75
20078  77
20081  77
20084  77
20088  77
20091  76
20093  76
20097  75
20101  74
20104  74
20107  75
20110  75
20114  77
20014  77
20021  75
20022  75
20029  73
20037  73
20049  74
20055  74
20077  77
20112  75
eof
